Edad,Sexo,Talla,Latitud,Notas,Horas_Estudio,Fecha_Matricula,Acceso_Internet,Trabaja,Comentarios_Tutor,Horas_Sueno
27,M,1.54,-4.23927,2.3,33,2023-12-22,1,1,Alta motivacion,5
28,F,1.52,-13.01403,4.5,20,2023-03-03,1,1,Dificultad con matematicas,9
23,F,1.84,-12.0658,19.9,6,2023-10-30,1,1,Problemas familiares,8
18,F,1.79,-2.81734,11.5,28,2023-03-10,1,1,Ausencias frecuentes,9
29,M,1.78,-17.05948,11.7,8,2023-11-19,1,0,Excelente participacion,8
16,F,1.64,-1.30283,16.9,6,2023-09-22,1,1,Alta motivacion,6
19,F,1.65,-17.97549,10.5,13,2023-02-25,1,1,Dificultad con matematicas,6
17,M,1.88,-1.09496,4.4,29,2023-02-10,1,1,Problemas familiares,4
23,F,1.53,-9.81435,8.4,23,2023-12-08,1,1,Falta de tiempo,4
19,M,1.81,-16.16179,15.1,33,2023-01-20,1,0,Excelente participacion,5
17,M,1.62,-5.8651,17.4,7,2023-03-01,1,1,Excelente participacion,5
29,F,1.52,-1.87458,5.5,0,2023-02-10,1,1,Ausencias frecuentes,5
21,M,1.8,-10.11469,5.2,33,2023-10-19,1,1,Falta de tiempo,7
21,F,1.63,-5.55556,6.6,19,2023-11-20,1,1,Problemas familiares,4
25,F,1.79,-0.37147,11.9,30,2023-12-18,1,1,Ausencias frecuentes,4
19,F,1.78,-13.66739,5.6,14,2023-07-26,1,1,Falta de tiempo,6
21,F,1.71,-3.23191,17.9,14,2023-05-23,1,1,Problemas familiares,4
28,M,1.81,-12.68573,19.6,33,2023-10-25,1,1,Excelente participacion,9
17,F,1.73,-10.32592,13.6,4,2023-04-10,1,1,Ausencias frecuentes,4
25,F,1.61,-12.92821,19.4,21,2023-01-13,1,1,Problemas familiares,7
27,F,1.79,-9.97179,5.8,11,2023-03-11,0,1,Alta motivacion,8
17,M,1.74,-17.9084,16.3,30,2023-10-14,1,0,Ausencias frecuentes,4
25,M,1.51,-12.5381,13.6,28,2023-10-03,1,1,Excelente participacion,7
29,F,1.86,-9.98471,5.3,21,2023-11-18,1,0,Problemas familiares,9
19,M,1.72,-6.61968,6.4,7,2023-05-24,1,1,Dificultad con matematicas,7
29,M,1.85,-6.52749,9.8,36,2023-10-18,1,1,Problemas familiares,7
23,F,1.85,-7.49186,15.8,27,2023-07-09,1,1,Problemas familiares,6
29,F,1.68,-12.72543,17.4,20,2023-09-10,0,0,Ausencias frecuentes,9
22,F,1.7,-0.94672,12.7,10,2023-06-16,0,1,Ausencias frecuentes,9
27,F,1.67,-10.94454,14.4,10,2023-08-16,1,1,Excelente participacion,9
24,F,1.68,-14.09591,5.3,22,2023-08-12,1,1,Problemas familiares,5
29,M,1.86,-8.01877,14.8,12,2023-04-09,1,0,Falta de tiempo,4
23,F,1.82,-4.51928,12.1,26,2023-09-02,1,1,Dificultad con matematicas,7
20,F,1.55,-17.7798,4.5,22,2023-09-17,1,1,Falta de tiempo,9
28,F,1.74,-13.02581,19.0,32,2023-10-16,1,1,Ausencias frecuentes,6
17,F,1.9,-3.1504,10.3,25,2023-07-17,1,1,Falta de tiempo,4
20,F,1.74,-8.87362,15.9,35,2023-07-14,0,1,Falta de tiempo,7
23,M,1.81,-10.64721,10.5,32,2023-02-21,1,1,Excelente participacion,9
25,F,1.81,-1.24378,18.7,37,2023-10-04,1,1,Alta motivacion,9
24,M,1.64,-16.38837,2.8,15,2023-12-26,1,1,Dificultad con matematicas,4
27,F,1.65,-6.91974,10.9,9,2023-10-09,1,1,Alta motivacion,7
27,F,1.79,-11.8406,0.5,16,2023-02-16,1,1,Alta motivacion,4
27,F,1.7,-16.72518,3.9,22,2023-12-25,0,1,Excelente participacion,4
28,M,1.73,-14.1526,5.6,0,2023-04-11,1,1,Problemas familiares,9
24,F,1.79,-6.6972,9.5,28,2023-12-01,0,1,Problemas familiares,9
28,F,1.81,-17.49102,16.4,24,2023-09-17,1,1,Excelente participacion,5
28,F,1.61,-7.33952,9.3,5,2023-07-28,1,1,Ausencias frecuentes,9
16,F,1.56,-0.77669,11.2,9,2023-06-15,1,0,Excelente participacion,4
24,F,1.62,-3.68827,18.5,39,2023-09-06,1,1,Ausencias frecuentes,8
22,F,1.7,-11.77925,15.1,13,2023-12-04,1,0,Ausencias frecuentes,4
24,F,1.64,-15.51226,1.0,22,2023-07-28,1,0,Ausencias frecuentes,5
23,M,1.73,-9.62884,3.5,18,2023-12-28,0,1,Dificultad con matematicas,9
16,F,1.52,-10.92689,0.8,30,2023-05-22,1,1,Falta de tiempo,5
27,F,1.7,-0.50881,1.4,38,2023-02-21,1,0,Alta motivacion,8
23,F,1.65,-0.18238,6.8,38,2023-09-14,1,1,Problemas familiares,5
23,M,1.71,-10.60948,14.6,37,2023-05-25,1,1,Ausencias frecuentes,9
26,M,1.67,-15.32189,4.9,18,2023-06-09,1,0,Ausencias frecuentes,4
18,F,1.61,-1.60903,7.8,0,2023-10-23,1,1,Excelente participacion,5
16,M,1.86,-3.71624,7.9,37,2023-06-19,1,1,Excelente participacion,9
23,F,1.57,-8.79706,11.8,12,2023-06-08,1,1,Falta de tiempo,6
18,F,1.77,-11.42362,17.9,33,2023-04-12,0,1,Excelente participacion,7
18,M,1.87,-9.93302,19.7,16,2023-10-22,0,1,Alta motivacion,7
16,F,1.72,-1.76614,12.1,31,2023-06-30,1,1,Problemas familiares,9
26,M,1.85,-14.67642,10.1,33,2023-10-31,1,0,Ausencias frecuentes,8
20,M,1.55,-3.4779,13.6,32,2023-12-03,1,1,Ausencias frecuentes,8
25,M,1.7,-17.67257,13.4,27,2023-08-19,1,1,Falta de tiempo,4
22,F,1.68,-1.4297,10.5,28,2023-05-14,1,1,Ausencias frecuentes,6
25,F,1.5,-8.99465,14.7,36,2023-07-22,1,1,Falta de tiempo,9
24,F,1.68,-13.91854,9.8,23,2023-08-10,1,1,Dificultad con matematicas,4
27,F,1.65,-17.94858,19.9,15,2023-03-23,1,0,Falta de tiempo,9
22,F,1.77,-7.92816,1.0,12,2023-10-24,1,1,Problemas familiares,6
24,F,1.88,-13.59922,8.9,25,2023-01-09,0,1,Alta motivacion,4
23,F,1.53,-6.63724,7.9,6,2023-03-08,1,1,Excelente participacion,9
27,M,1.63,-12.93895,15.4,13,2023-01-27,1,1,Alta motivacion,7
17,F,1.68,-16.41557,3.8,31,2023-11-19,1,1,Alta motivacion,7
16,F,1.68,-8.90907,8.7,10,2023-02-15,1,0,Problemas familiares,9
22,F,1.81,-7.83926,14.0,31,2023-06-30,1,1,Dificultad con matematicas,5
22,M,1.68,-9.85338,12.1,10,2023-07-03,0,1,Ausencias frecuentes,9
29,M,1.51,-9.75536,10.9,19,2023-07-04,0,1,Falta de tiempo,6
23,M,1.78,-7.3863,8.7,33,2023-04-22,1,0,Dificultad con matematicas,9
20,F,1.85,-8.52564,15.0,21,2023-05-16,0,1,Dificultad con matematicas,5
18,M,1.71,-15.61378,12.9,22,2023-01-14,1,0,Dificultad con matematicas,4
27,M,1.73,-14.45246,17.5,28,2023-12-23,0,1,Excelente participacion,4
23,F,1.57,-15.44776,14.7,11,2023-11-09,1,1,Alta motivacion,6
21,F,1.59,-5.52068,2.8,38,2023-01-29,0,1,Alta motivacion,6
26,F,1.59,-8.48523,12.4,30,2023-12-23,1,1,Dificultad con matematicas,7
18,M,1.67,-10.26261,0.9,28,2023-05-22,1,0,Dificultad con matematicas,4
16,F,1.87,-3.6299,7.7,30,2023-12-26,1,1,Falta de tiempo,8
18,F,1.71,-12.1357,8.2,11,2023-09-24,1,1,Excelente participacion,6
20,F,1.58,-7.77408,17.1,34,2023-10-09,0,1,Falta de tiempo,7
29,F,1.61,-16.66066,3.6,26,2023-07-12,1,0,Excelente participacion,8
18,F,1.65,-4.60073,12.9,14,2023-10-08,1,0,Ausencias frecuentes,4
16,F,1.75,-5.48654,3.8,29,2023-03-03,1,0,Dificultad con matematicas,7
20,M,1.68,-3.55717,19.0,6,2023-05-29,1,1,Excelente participacion,7
25,F,1.66,-2.07943,10.6,35,2023-11-03,0,1,Alta motivacion,4
22,M,1.73,-4.35549,14.2,23,2023-04-08,1,1,Problemas familiares,9
29,M,1.6,-2.79918,12.9,17,2023-03-08,1,1,Alta motivacion,8
22,F,1.53,-11.77822,6.1,23,2023-09-20,1,1,Dificultad con matematicas,8
26,M,1.51,-11.81993,18.0,31,2023-01-11,0,1,Alta motivacion,6
24,M,1.6,-1.00259,12.5,11,2023-12-12,1,1,Excelente participacion,9
25,M,1.54,-1.53766,10.2,27,2023-10-06,1,1,Excelente participacion,9
25,F,1.63,-8.12705,10.6,10,2023-08-30,1,0,Dificultad con matematicas,6
27,M,1.81,-11.40194,17.8,2,2023-05-28,1,1,Falta de tiempo,5
28,M,1.79,-2.41197,1.2,36,2023-04-29,0,1,Excelente participacion,8
18,M,1.74,-12.1786,7.8,2,2023-11-26,1,1,Ausencias frecuentes,9
22,M,1.84,-15.23457,16.8,28,2023-10-27,1,1,Alta motivacion,5
16,F,1.61,-6.48913,0.8,31,2023-04-30,1,1,Dificultad con matematicas,9
19,F,1.85,-17.23281,12.8,37,2023-07-04,0,1,Ausencias frecuentes,9
28,M,1.66,-11.17617,8.1,30,2023-04-20,1,1,Ausencias frecuentes,9
19,F,1.66,-3.46205,4.1,0,2023-01-22,0,1,Alta motivacion,5
29,F,1.66,-12.68611,12.2,36,2023-09-21,1,1,Problemas familiares,8
20,M,1.54,-1.23632,16.6,20,2023-04-13,1,1,Ausencias frecuentes,9
22,F,1.89,-0.79516,9.3,19,2023-01-13,1,1,Dificultad con matematicas,6
22,F,1.56,-3.31531,2.9,10,2023-11-29,1,1,Alta motivacion,5
28,M,1.64,-0.22242,6.1,9,2023-10-12,1,1,Falta de tiempo,7
26,M,1.63,-8.44625,19.6,2,2023-09-22,1,0,Ausencias frecuentes,7
28,F,1.53,-7.75441,2.2,13,2023-12-12,0,0,Falta de tiempo,8
19,F,1.56,-2.949,3.2,30,2023-05-14,1,0,Alta motivacion,4
28,F,1.52,-9.12951,19.8,34,2023-02-02,0,0,Excelente participacion,7
22,F,1.62,-10.67904,17.6,8,2023-10-12,1,1,Excelente participacion,8
26,M,1.85,-6.93444,14.1,5,2023-12-05,1,0,Alta motivacion,4
18,M,1.64,-6.16213,3.0,28,2023-10-15,1,1,Excelente participacion,8
21,M,1.55,-4.48388,4.8,21,2023-07-04,1,1,Ausencias frecuentes,4
27,M,1.76,-5.97239,3.6,2,2023-09-30,1,0,Excelente participacion,6
17,M,1.9,-4.57701,12.6,1,2023-04-08,1,1,Excelente participacion,6
25,F,1.59,-5.85793,8.0,27,2023-11-13,1,1,Dificultad con matematicas,9
28,F,1.61,-9.35199,1.0,36,2023-11-27,1,1,Excelente participacion,7
29,M,1.89,-15.57118,5.8,4,2023-03-01,1,1,Ausencias frecuentes,8
24,M,1.57,-3.86202,17.2,8,2023-06-13,1,1,Excelente participacion,4
20,M,1.7,-17.44598,15.9,31,2023-05-31,1,1,Alta motivacion,7
21,F,1.6,-0.135,12.9,16,2023-09-12,1,1,Ausencias frecuentes,9
27,F,1.87,-3.08775,1.7,10,2023-12-09,1,1,Dificultad con matematicas,7
27,F,1.89,-5.92361,17.7,37,2023-12-20,1,1,Problemas familiares,8
27,M,1.83,-0.60108,10.7,34,2023-09-26,1,0,Dificultad con matematicas,8
27,M,1.63,-6.97553,9.9,17,2023-08-12,1,1,Excelente participacion,9
19,M,1.66,-16.98421,18.7,35,2023-12-03,1,1,Problemas familiares,6
29,M,1.6,-7.93112,0.2,18,2023-09-19,1,1,Alta motivacion,7
29,M,1.86,-13.01032,11.1,24,2023-09-01,0,1,Excelente participacion,9
26,F,1.87,-11.3494,15.8,39,2023-07-10,1,1,Excelente participacion,5
25,M,1.67,-9.72747,1.3,30,2023-06-20,1,1,Alta motivacion,9
22,F,1.76,-4.05719,7.1,22,2023-06-20,1,1,Dificultad con matematicas,7
27,F,1.57,-8.94727,19.5,13,2023-06-02,1,0,Dificultad con matematicas,8
24,F,1.67,-9.45575,4.2,26,2023-11-08,1,0,Falta de tiempo,8
22,F,1.75,-12.5645,10.6,34,2023-03-08,1,1,Falta de tiempo,5
29,F,1.65,-8.2823,14.9,12,2023-02-25,1,1,Excelente participacion,9
16,M,1.64,-13.52896,7.8,35,2023-04-21,0,1,Ausencias frecuentes,7
16,M,1.5,-13.30211,8.2,23,2023-07-10,1,0,Problemas familiares,6
24,M,1.82,-4.36934,1.3,32,2023-01-15,1,1,Problemas familiares,7
26,F,1.86,-11.83415,3.8,6,2023-10-29,1,1,Ausencias frecuentes,6
29,F,1.89,-17.07481,17.6,8,2023-09-10,1,0,Dificultad con matematicas,8
24,F,1.79,-11.81381,16.4,20,2023-01-18,1,0,Alta motivacion,7
19,F,1.72,-6.5057,6.1,31,2023-01-10,1,1,Problemas familiares,9
28,F,1.61,-3.34826,7.6,1,2023-05-13,1,1,Falta de tiempo,5
24,F,1.9,-0.68514,8.8,24,2023-06-21,1,0,Falta de tiempo,9
18,M,1.74,-4.56803,6.9,0,2023-05-09,0,1,Excelente participacion,6
22,F,1.77,-10.28067,13.1,10,2023-02-22,1,0,Ausencias frecuentes,6
21,F,1.77,-12.61585,0.3,15,2023-10-27,1,1,Problemas familiares,7
23,M,1.84,-15.66666,17.6,22,2023-10-08,1,1,Problemas familiares,8
26,F,1.5,-6.70164,6.0,14,2023-02-12,1,1,Dificultad con matematicas,8
24,M,1.59,-8.8221,17.4,26,2023-06-06,1,1,Falta de tiempo,9
29,M,1.77,-5.80137,9.1,15,2023-04-21,1,1,Alta motivacion,7
20,M,1.86,-13.7316,15.5,32,2023-03-24,1,1,Dificultad con matematicas,9
16,F,1.77,-12.1744,16.5,38,2023-07-01,1,1,Falta de tiempo,5
18,M,1.67,-12.74228,6.0,7,2023-02-20,0,0,Ausencias frecuentes,6
25,M,1.64,-3.64227,12.8,0,2023-06-21,1,1,Falta de tiempo,4
27,F,1.8,-14.91786,12.1,18,2023-11-06,1,0,Alta motivacion,5
23,M,1.8,-7.0475,9.5,25,2023-10-02,1,1,Alta motivacion,4
26,F,1.74,-17.07561,9.4,36,2023-09-13,1,0,Problemas familiares,9
21,F,1.62,-8.1085,6.1,2,2023-09-10,0,1,Excelente participacion,8
23,M,1.87,-16.84955,6.2,23,2023-07-08,1,0,Alta motivacion,5
24,F,1.72,-14.83422,11.0,21,2023-01-12,1,1,Problemas familiares,4
19,F,1.82,-15.96554,0.6,0,2023-10-15,1,0,Excelente participacion,5
16,M,1.59,-11.75894,18.7,38,2023-08-02,1,1,Alta motivacion,8
29,M,1.64,-11.81283,13.0,8,2023-05-09,0,0,Falta de tiempo,9
16,M,1.85,-3.12445,8.9,32,2023-09-14,1,1,Alta motivacion,8
25,M,1.52,-13.93763,1.2,22,2023-08-17,0,1,Ausencias frecuentes,6
19,F,1.7,-16.44504,12.6,33,2023-10-07,1,0,Problemas familiares,4
27,M,1.69,-7.13679,0.4,34,2023-11-29,1,1,Ausencias frecuentes,6
29,M,1.8,-5.62589,13.6,9,2023-08-29,1,1,Excelente participacion,8
22,M,1.61,-12.69317,1.5,31,2023-11-01,1,1,Falta de tiempo,5
17,F,1.59,-7.14935,13.1,1,2023-04-02,1,1,Falta de tiempo,7
18,F,1.87,-4.03098,8.1,6,2023-03-31,1,1,Excelente participacion,5
16,F,1.73,-11.74405,13.3,23,2023-09-30,1,1,Falta de tiempo,4
20,F,1.54,-8.54363,2.8,2,2023-10-08,1,0,Ausencias frecuentes,9
16,F,1.58,-15.3606,2.3,11,2023-03-04,1,1,Falta de tiempo,5
23,M,1.9,-17.57436,4.9,38,2023-01-02,1,0,Problemas familiares,9
16,F,1.58,-0.33538,8.2,35,2023-12-29,1,1,Problemas familiares,5
26,F,1.74,-12.60484,5.1,26,2023-10-13,1,1,Ausencias frecuentes,9
16,F,1.67,-12.97976,1.6,0,2023-04-24,1,1,Dificultad con matematicas,8
17,M,1.85,-0.48159,6.5,35,2023-07-25,0,1,Falta de tiempo,4
17,M,1.8,-4.8918,14.1,31,2023-03-18,1,1,Alta motivacion,7
27,F,1.74,-7.46464,11.7,26,2023-06-14,1,1,Dificultad con matematicas,8
21,M,1.5,-5.41218,19.3,30,2023-09-02,1,0,Excelente participacion,8
22,F,1.85,-5.22132,8.7,32,2023-03-16,1,0,Dificultad con matematicas,5
20,M,1.68,-4.25995,6.7,31,2023-02-28,1,0,Excelente participacion,9
16,M,1.87,-16.79059,13.9,3,2023-06-22,0,1,Excelente participacion,5
16,F,1.7,-10.56903,8.2,24,2023-03-14,1,1,Problemas familiares,8
18,M,1.78,-12.68765,12.4,38,2023-08-16,1,1,Problemas familiares,6
29,F,1.53,-16.72975,18.9,28,2023-01-22,1,1,Problemas familiares,4
17,F,1.8,-10.57322,10.0,8,2023-11-20,1,1,Problemas familiares,7
20,F,1.64,-6.90888,10.0,13,2023-06-20,1,0,Dificultad con matematicas,8
27,M,1.64,-14.78704,15.5,4,2023-08-18,1,1,Falta de tiempo,7
25,M,1.55,-12.50952,15.1,16,2023-08-31,1,1,Problemas familiares,6
21,F,1.56,-6.49493,10.3,31,2023-07-12,0,0,Falta de tiempo,6
22,F,1.57,-7.57216,1.3,5,2023-07-02,1,1,Dificultad con matematicas,5
19,M,1.63,-2.36186,19.6,4,2023-05-27,1,1,Dificultad con matematicas,7
22,F,1.86,-3.75784,7.5,28,2023-03-05,0,1,Ausencias frecuentes,8
26,M,1.65,-0.619,6.3,27,2023-01-09,0,0,Dificultad con matematicas,6
23,M,1.79,-7.25052,19.6,9,2023-07-23,1,0,Dificultad con matematicas,7
26,M,1.53,-5.42759,17.4,22,2023-06-20,0,1,Ausencias frecuentes,8
16,F,1.74,-2.51089,6.6,18,2023-06-11,1,1,Alta motivacion,8
21,F,1.69,-2.88014,6.2,3,2023-08-17,0,1,Excelente participacion,8
23,M,1.89,-5.06301,14.4,31,2023-11-15,1,1,Alta motivacion,7
20,F,1.84,-8.99539,6.7,19,2023-06-24,1,1,Ausencias frecuentes,8
19,F,1.68,-13.08228,5.0,27,2023-07-28,1,1,Alta motivacion,7
17,M,1.81,-2.21012,19.6,35,2023-07-27,1,0,Excelente participacion,8
21,M,1.58,-4.0202,11.3,22,2023-02-13,1,1,Dificultad con matematicas,7
21,F,1.72,-2.91767,15.2,2,2023-12-29,1,1,Problemas familiares,6
26,M,1.53,-15.46579,14.3,23,2023-10-23,1,1,Ausencias frecuentes,9
16,F,1.64,-12.33337,15.1,1,2023-12-26,1,0,Excelente participacion,7
24,M,1.59,-10.35207,18.1,17,2023-01-12,1,1,Ausencias frecuentes,6
27,M,1.79,-2.90966,10.0,31,2023-08-03,1,0,Dificultad con matematicas,8
26,F,1.7,-1.92804,15.1,29,2023-11-03,1,1,Problemas familiares,9
21,F,1.8,-12.87193,15.9,37,2023-07-30,1,1,Ausencias frecuentes,6
28,F,1.71,-5.64427,18.9,26,2023-11-02,0,1,Excelente participacion,8
18,F,1.53,-16.59934,14.3,37,2023-07-12,0,1,Falta de tiempo,6
19,F,1.79,-10.62768,17.9,37,2023-03-20,1,1,Ausencias frecuentes,5
27,M,1.83,-9.23996,1.9,13,2023-01-24,1,0,Alta motivacion,4
26,M,1.86,-4.21861,2.5,0,2023-07-08,1,0,Problemas familiares,8
19,F,1.73,-1.9445,3.2,0,2023-02-23,1,0,Ausencias frecuentes,7
18,M,1.8,-11.9289,2.9,39,2023-02-22,1,1,Problemas familiares,4
25,F,1.8,-8.5007,1.8,7,2023-11-01,1,1,Excelente participacion,6
18,M,1.56,-6.34593,2.5,16,2023-05-04,1,1,Ausencias frecuentes,9
18,M,1.57,-12.08363,19.9,0,2023-12-12,1,1,Ausencias frecuentes,8
19,F,1.53,-0.26031,5.4,13,2023-06-17,0,1,Ausencias frecuentes,4
22,F,1.63,-2.23606,9.6,12,2023-02-03,0,0,Excelente participacion,7
19,F,1.69,-12.66475,16.4,29,2023-12-10,1,1,Excelente participacion,6
24,M,1.9,-8.85697,2.4,12,2023-06-01,1,1,Problemas familiares,4
16,F,1.67,-13.84487,6.3,2,2023-03-13,1,1,Falta de tiempo,4
23,F,1.79,-8.73893,3.2,21,2023-05-09,0,0,Problemas familiares,9
22,F,1.78,-5.70002,1.3,34,2023-06-22,1,0,Excelente participacion,6
17,F,1.58,-16.46062,19.2,13,2023-01-10,1,0,Ausencias frecuentes,8
23,F,1.52,-2.33789,17.2,39,2023-04-10,1,1,Problemas familiares,4
16,F,1.72,-7.31257,17.6,21,2023-10-24,1,1,Falta de tiempo,7
26,M,1.78,-0.18715,17.4,32,2023-01-07,1,1,Alta motivacion,6
27,M,1.9,-17.53935,3.1,11,2023-11-03,1,0,Problemas familiares,5
24,M,1.64,-3.03303,15.7,23,2023-04-03,1,1,Falta de tiempo,6
24,M,1.86,-3.74467,14.6,4,2023-10-09,1,1,Excelente participacion,5
17,F,1.65,-15.60865,18.5,8,2023-08-15,0,1,Excelente participacion,8
22,F,1.78,-11.9645,4.4,1,2023-06-09,1,1,Ausencias frecuentes,6
29,M,1.74,-2.07367,8.3,30,2023-06-27,0,1,Alta motivacion,4
25,M,1.52,-8.66782,5.9,28,2023-04-29,1,1,Ausencias frecuentes,4
18,M,1.53,-10.77693,5.2,28,2023-10-23,1,0,Alta motivacion,4
22,F,1.51,-1.70106,13.0,35,2023-04-06,1,1,Falta de tiempo,6
27,F,1.65,-16.3198,3.3,29,2023-10-16,1,0,Excelente participacion,4
25,F,1.8,-9.48379,9.3,21,2023-12-04,1,0,Dificultad con matematicas,5
